Enterobacteria phage T2 (taxid=10664, kingdom=10239)
Exiguobacterium phage vB_EauS-123 (taxid=1775141, kingdom=10239)
Vibrio phage vB_VmeM-32 (taxid=1775142, kingdom=10239)
Pseudomonas phage AAT-1 (taxid=1775248, kingdom=10239)
Pseudomonas phage NP3 (taxid=1775428, kingdom=10239)
Pseudomonas phage JBD44 (taxid=1777052, kingdom=10239)
Mycobacterium phage JenCasNa (taxid=1777058, kingdom=10239)
Mycobacterium phage MkaliMitinis3 (taxid=1777060, kingdom=10239)
Mycobacterium phage NaSiaTalie (taxid=1777062, kingdom=10239)
Pseudomonas phage YMC11/07/P54_PAE_BP (taxid=1777064, kingdom=10239)
Pseudomonas phage vB_PsyM_KIL1 (taxid=1777065, kingdom=10239)
Pseudomonas phage vB_PsyM_KIL2 (taxid=1777066, kingdom=10239)
Pseudomonas phage vB_PsyM_KIL3 (taxid=1777067, kingdom=10239)
Pseudomonas phage vB_PsyM_KIL3b (taxid=1777068, kingdom=10239)
Pseudomonas phage vB_PsyM_KIL4 (taxid=1777069, kingdom=10239)
Pseudomonas phage vB_PsyM_KIL5 (taxid=1777070, kingdom=10239)
Pseudomonas phage K5 (taxid=1777072, kingdom=10239)
Clostridium phage HM T (taxid=1779843, kingdom=10239)
Enterobacteria phage ECGD1 (taxid=1784948, kingdom=10239)
Mycobacterium phage Bactobuster (taxid=1784956, kingdom=10239)
Ralstonia phage RSP15 (taxid=1785960, kingdom=10239)
Bacillus phage SP-15 (taxid=1792032, kingdom=10239)
Mycobacterium phage Dynamix (taxid=1792149, kingdom=10239)
Mycobacterium phage Marie (taxid=1792228, kingdom=10239)
Mycobacterium phage Catalina (taxid=1792253, kingdom=10239)
Bacillus phage Mgbh1 (taxid=1796993, kingdom=10239)
Arthrobacter phage KellEzio (taxid=1796995, kingdom=10239)
Arthrobacter phage Kitkat (taxid=1796996, kingdom=10239)
Mycobacterium phage Bipper (taxid=1805457, kingdom=10239)
Mycobacterium phage Myxus (taxid=1805458, kingdom=10239)
Mycobacterium phage Mulciber (taxid=1805459, kingdom=10239)
Mycobacterium phage McFly (taxid=1805460, kingdom=10239)
Pseudomonas phage phiAH14a (taxid=1805958, kingdom=10239)
Salmonella phage 118970_sal4 (taxid=1810705, kingdom=10239)
Salmonella phage 64795_sal3 (taxid=1813769, kingdom=10239)
Salmonella phage 118970_sal3 (taxid=1813771, kingdom=10239)
Salmonella phage 101962B_sal5 (taxid=1813773, kingdom=10239)
Salmonella phage 146851_sal5 (taxid=1813774, kingdom=10239)
Salmonella phage 146851_sal4 (taxid=1813777, kingdom=10239)
Salmonella phage 64795_sal4 (taxid=1813778, kingdom=10239)
Salmonella phage 103203_sal5 (taxid=1813779, kingdom=10239)
Salmonella phage 103203_sal4 (taxid=1813780, kingdom=10239)
Salmonella phage 118970_sal1 (taxid=1813781, kingdom=10239)
Salmonella phage 118970_sal2 (taxid=1813782, kingdom=10239)
Salmonella phage 100268_sal2 (taxid=1813783, kingdom=10239)
Enterococcus phage VPE25 (taxid=1813887, kingdom=10239)
Enterococcus phage VFW (taxid=1813888, kingdom=10239)
Lactobacillus phage PLE3 (taxid=1815510, kingdom=10239)
Lactobacillus phage PLE2 (taxid=1815511, kingdom=10239)
Synechococcus phage S-WAM1 (taxid=1815521, kingdom=10239)
Synechococcus phage S-WAM2 (taxid=1815522, kingdom=10239)
Pseudomonas phage phiPMW (taxid=1815582, kingdom=10239)
Escherichia phage vB_EcoM-UFV13 (taxid=1815590, kingdom=10239)
Mycobacterium phage Brocalys (taxid=1815608, kingdom=10239)
Mycobacterium phage TeardropMSU (taxid=1815609, kingdom=10239)
Pseudomonas phage pf16 (taxid=1815630, kingdom=10239)
Salmonella phage vB_SnwM_CGG4-1 (taxid=1815631, kingdom=10239)
Pseudomonas phage phiMK (taxid=1815957, kingdom=10239)
Mycobacterium phage Loser (taxid=1815969, kingdom=10239)
Mycobacterium phage ArcherNM (taxid=1815972, kingdom=10239)
Mycobacterium phage Romney (taxid=1818374, kingdom=10239)
Mycobacterium phage Eidsmoe (taxid=1821221, kingdom=10239)
Mycobacterium phage Xerxes (taxid=1821279, kingdom=10239)
Mycobacterium phage Panchino (taxid=1821537, kingdom=10239)
Mycobacterium phage Xeno (taxid=1821538, kingdom=10239)
Mycobacterium phage SkinnyPete (taxid=1821539, kingdom=10239)
Mycobacterium phage Pipsqueaks (taxid=1821540, kingdom=10239)
Mycobacterium phage Phrann (taxid=1821541, kingdom=10239)
Gordonia phage Benczkowski14 (taxid=1821550, kingdom=10239)
Gordonia phage Emalyn (taxid=1821552, kingdom=10239)
Gordonia phage Hotorobo (taxid=1821554, kingdom=10239)
Gordonia phage Katyusha (taxid=1821555, kingdom=10239)
Gordonia phage Kita (taxid=1821556, kingdom=10239)
Gordonia phage Nymphadora (taxid=1821558, kingdom=10239)
Gordonia phage Yvonnetastic (taxid=1821566, kingdom=10239)
Mycobacterium phage Malinsilva (taxid=1821720, kingdom=10239)
Mycobacterium phage Burger (taxid=1821721, kingdom=10239)
Mycobacterium phage ChipMunk (taxid=1821722, kingdom=10239)
Mycobacterium phage EvilGenius (taxid=1821723, kingdom=10239)
Mycobacterium phage Hercules11 (taxid=1821724, kingdom=10239)
Mycobacterium phage Holli (taxid=1821725, kingdom=10239)
Mycobacterium phage Kazan (taxid=1821726, kingdom=10239)
Streptomyces phage Chymera (taxid=1821728, kingdom=10239)
Salmonella phage phSE-2 (taxid=1837218, kingdom=10239)
Salmonella phage phSE-5 (taxid=1837219, kingdom=10239)
Mycobacterium phage Loadrie (taxid=1837841, kingdom=10239)
Escherichia phage UFV-AREG1 (taxid=1837867, kingdom=10239)
Escherichia phage PE37 (taxid=1837875, kingdom=10239)
Escherichia phage MX01 (taxid=1837930, kingdom=10239)
Escherichia phage WG01 (taxid=1837931, kingdom=10239)
Gordonia phage Bachita (taxid=1838061, kingdom=10239)
Gordonia phage BritBrat (taxid=1838064, kingdom=10239)
Gordonia phage ClubL (taxid=1838065, kingdom=10239)
Gordonia phage Cozz (taxid=1838066, kingdom=10239)
Gordonia phage Demosthenes (taxid=1838067, kingdom=10239)
Gordonia phage Kampe (taxid=1838069, kingdom=10239)
Gordonia phage KatherineG (taxid=1838070, kingdom=10239)
Gordonia phage Kvothe (taxid=1838071, kingdom=10239)
Gordonia phage Monty (taxid=1838073, kingdom=10239)
Gordonia phage OneUp (taxid=1838074, kingdom=10239)
Gordonia phage Orchid (taxid=1838075, kingdom=10239)
Gordonia phage PatrickStar (taxid=1838076, kingdom=10239)
Gordonia phage Rosalind (taxid=1838077, kingdom=10239)
Gordonia phage Smoothie (taxid=1838078, kingdom=10239)
Gordonia phage Soups (taxid=1838079, kingdom=10239)
Gordonia phage Splinter (taxid=1838080, kingdom=10239)
Gordonia phage Vendetta (taxid=1838082, kingdom=10239)
Gordonia phage Woes (taxid=1838084, kingdom=10239)
Propionibacterium phage PFR1 (taxid=1838137, kingdom=10239)
Propionibacterium phage PFR2 (taxid=1838138, kingdom=10239)
Freshwater phage uvFW-CGR-AMD-COM-C203 (taxid=1838151, kingdom=10239)
Staphylococcus phage P1105 (taxid=1840236, kingdom=10239)
Vibrio phage VcP032 (taxid=1841196, kingdom=10239)
Pseudomonas phage NP1 (taxid=1844477, kingdom=10239)
Lactobacillus phage P1 (taxid=1846168, kingdom=10239)
Escherichia phage vB_EcoS_NBD2 (taxid=1852563, kingdom=10239)
Staphylococcus phage vB_SauS_IMEP5 (taxid=1852565, kingdom=10239)
Mycobacterium phage Gattaca (taxid=1852567, kingdom=10239)
Shewanella phage SFCi1 (taxid=1852599, kingdom=10239)
Xanthomonas phage Xoo-sp2 (taxid=1852622, kingdom=10239)
Klebsiella phage vB_KpnM_KpV477 (taxid=1852625, kingdom=10239)
Pseudoalteromonas virus vB_PspP-H6/1 (taxid=1852626, kingdom=10239)
Morganella phage vB_MmoM_MP1 (taxid=1852628, kingdom=10239)
Escherichia phage phT4A (taxid=1852638, kingdom=10239)
Vibrio phage vB_ValP_IME234 (taxid=1852639, kingdom=10239)
Serratia phage vB-Sru-IME250 (taxid=1852640, kingdom=10239)
Pseudoalteromonas phage vB_PspS-H40/1 (taxid=1856120, kingdom=10239)
Salmonella phage BPS15Q2 (taxid=1857100, kingdom=10239)
Streptococcus phage phiZJ20091101-3 (taxid=1860192, kingdom=10239)
Streptococcus phage phiJH1301-2 (taxid=1860194, kingdom=10239)
Lactococcus phage D4410 (taxid=1862958, kingdom=10239)
Lactococcus phage D4412 (taxid=1862959, kingdom=10239)
Lactococcus phage M5938 (taxid=1862960, kingdom=10239)
Lactococcus phage M6162 (taxid=1862961, kingdom=10239)
Lactococcus phage M6165 (taxid=1862962, kingdom=10239)
Lactococcus phage M6202 (taxid=1862963, kingdom=10239)
Lactococcus phage M6653 (taxid=1862964, kingdom=10239)
Lactococcus phage M6654 (taxid=1862965, kingdom=10239)
Shigella phage SHBML-50-1 (taxid=1863007, kingdom=10239)
Shigella phage SHFML-11 (taxid=1863008, kingdom=10239)
Shigella phage SHFML-26 (taxid=1863009, kingdom=10239)
Shigella phage SHSML-45 (taxid=1863010, kingdom=10239)
Shigella phage SHSML-52-1 (taxid=1863011, kingdom=10239)
Enterobacter phage Arya (taxid=1864622, kingdom=10239)
Salmonella phage GG32 (taxid=1868169, kingdom=10239)
Pseudomonas phage AN14 (taxid=1868597, kingdom=10239)
Bacillus phage PfEFR-4 (taxid=1868598, kingdom=10239)
Bacillus phage PfEFR-5 (taxid=1868599, kingdom=10239)
Vibrio phage vB_VhaS-a (taxid=1868610, kingdom=10239)
Vibrio phage vB_VhaS-tm (taxid=1868611, kingdom=10239)
Salmonella phage vB-SalM-PM10 (taxid=1868654, kingdom=10239)
uncultured Mediterranean phage (taxid=1868660, kingdom=10239)
uncultured Mediterranean phage uvDeep-CGR0-AD1-C123 (taxid=1868661, kingdom=10239)
uncultured Mediterranean phage uvDeep-CGR0-KM15-C219 (taxid=1868664, kingdom=10239)
uncultured Mediterranean phage uvDeep-CGR2-AD3-C191 (taxid=1868669, kingdom=10239)
uncultured Mediterranean phage uvDeep-CGR2-AD3-C76 (taxid=1868670, kingdom=10239)
uncultured Mediterranean phage uvDeep-CGR2-KM18-C74 (taxid=1868674, kingdom=10239)
uncultured Mediterranean phage uvDeep-CGR2-KM19-C184 (taxid=1868675, kingdom=10239)
uncultured Mediterranean phage uvDeep-CGR2-KM21-C338 (taxid=1868679, kingdom=10239)
uncultured Mediterranean phage uvDeep-CGR2-KM21-C368 (taxid=1868681, kingdom=10239)
uncultured Mediterranean phage uvDeep-CGR2-KM22-C255 (taxid=1868683, kingdom=10239)
uncultured Mediterranean phage uvDeep-CGR2-KM23-C198 (taxid=1868684, kingdom=10239)
uncultured Mediterranean phage uvDeep-CGR2-KM24-C165 (taxid=1868686, kingdom=10239)
Bacillus phage vB_BtS_BMBtp13 (taxid=1868825, kingdom=10239)
Bacillus phage vB_BtS_BMBtp14 (taxid=1868826, kingdom=10239)
Bacillus phage vB_BtS_BMBtp15 (taxid=1868827, kingdom=10239)
Pseudomonas phage vB_Pae436M-8 (taxid=1868828, kingdom=10239)
Salmonella phage vB_SenM-2 (taxid=1868843, kingdom=10239)
Lactococcus phage 38502 (taxid=1868846, kingdom=10239)
Lactococcus phage C41431 (taxid=1868861, kingdom=10239)
Lactococcus phage Dub35A (taxid=1868862, kingdom=10239)
Sinorhizobium phage SMM-1 (taxid=1870977, kingdom=10239)
Sinorhizobium phage SMM-2 (taxid=1870978, kingdom=10239)
Sinorhizobium phage SMM-3 (taxid=1870979, kingdom=10239)
Citrobacter phage vB_CfrM_CfP1 (taxid=1871313, kingdom=10239)
Lactococcus phage 50101 (taxid=1871681, kingdom=10239)
Lactococcus phage 63301 (taxid=1871687, kingdom=10239)
Lactococcus phage 86501 (taxid=1871689, kingdom=10239)
Enterococcus phage SANTOR1 (taxid=1871692, kingdom=10239)
Mycobacterium phage Wilbur (taxid=1873449, kingdom=10239)
Mycobacterium phage Gardann (taxid=1873696, kingdom=10239)
Mycobacterium phage Aglet (taxid=1873697, kingdom=10239)
Mycobacterium phage Makemake (taxid=1873889, kingdom=10239)
Mycobacterium phage Papez (taxid=1873891, kingdom=10239)
Mycobacterium phage BuzzBuzz (taxid=1873892, kingdom=10239)
Mycobacterium phage Gompeii16 (taxid=1873895, kingdom=10239)
Mycobacterium phage Bircsak (taxid=1873903, kingdom=10239)
Vibrio phage 2E1 (taxid=1873904, kingdom=10239)
Vibrio phage S4-7 (taxid=1873905, kingdom=10239)
Pseudomonas phage Andromeda (taxid=1873949, kingdom=10239)
Mycobacterium phage Penny1 (taxid=1873950, kingdom=10239)
Cronobacter phage vB_CsaM_leE (taxid=1873954, kingdom=10239)
Salmonella phage IME207 (taxid=1873985, kingdom=10239)
Mycobacterium phage ToneTone (taxid=1873989, kingdom=10239)
Escherichia phage vB_EcoM_Alf5 (taxid=1873990, kingdom=10239)
Aeromonas phage Ahp2 (taxid=1873997, kingdom=10239)
Pseudoalteromonas phage BS5 (taxid=1874539, kingdom=10239)
Escherichia phage vB_Eco_slurp01 (taxid=1874688, kingdom=10239)
Klebsiella phage PMBT1 (taxid=1880822, kingdom=10239)
Escherichia phage ESCO13 (taxid=1881104, kingdom=10239)
Mycobacterium phage LittleGuy (taxid=1881139, kingdom=10239)
Mycobacterium phage Badger (taxid=1881140, kingdom=10239)
Mycobacterium phage Magnito (taxid=1881141, kingdom=10239)
Vibrio phage 1.074.O._10N.222.49.B7 (taxid=1881191, kingdom=10239)
Vibrio phage 1.082.O._10N.261.49.E4 (taxid=1881192, kingdom=10239)
Vibrio phage 1.085.O._10N.222.51.E3 (taxid=1881193, kingdom=10239)
Vibrio phage 1.108.O._10N.222.51.A4 (taxid=1881194, kingdom=10239)
Vibrio phage 1.110.O._10N.261.52.C1 (taxid=1881195, kingdom=10239)
Vibrio phage 1.115.A._10N.222.49.B11 (taxid=1881196, kingdom=10239)
Vibrio phage 1.115.B._10N.222.49.B11 (taxid=1881197, kingdom=10239)
Vibrio phage 1.116.O._10N.222.52.C10 (taxid=1881198, kingdom=10239)
Vibrio phage 1.117.O._10N.261.45.E9 (taxid=1881199, kingdom=10239)
Vibrio phage 1.131.O._10N.222.49.A8 (taxid=1881200, kingdom=10239)
Vibrio phage 1.132.O._10N.222.49.F8 (taxid=1881201, kingdom=10239)
Vibrio phage 1.133.O._10N.222.51.E4 (taxid=1881202, kingdom=10239)
Vibrio phage 1.134.O._10N.222.52.B8 (taxid=1881203, kingdom=10239)
Vibrio phage 1.147.O._10N.286.49.E9 (taxid=1881206, kingdom=10239)
Vibrio phage 1.148.O._10N.286.54.A10 (taxid=1881207, kingdom=10239)
Vibrio phage 1.157.O._10N.261.45.B7 (taxid=1881208, kingdom=10239)
Vibrio phage 1.162.O._10N.261.48.E3 (taxid=1881209, kingdom=10239)
Vibrio phage 1.165.O._10N.261.51.B7 (taxid=1881210, kingdom=10239)
Vibrio phage 1.167.O._10N.261.51.F2 (taxid=1881211, kingdom=10239)
Vibrio phage 1.168.O._10N.261.52.A10 (taxid=1881212, kingdom=10239)
Vibrio phage 1.172.O._10N.261.52.F5 (taxid=1881214, kingdom=10239)
Vibrio phage 1.176.O._10N.261.55.F5 (taxid=1881215, kingdom=10239)
Vibrio phage 1.182.O._10N.286.46.E1 (taxid=1881216, kingdom=10239)
Vibrio phage 1.189.B._10N.286.51.B5 (taxid=1881220, kingdom=10239)
Vibrio phage 1.189.C._10N.286.51.B5 (taxid=1881221, kingdom=10239)
Vibrio phage 1.189.O._10N.286.51.B5 (taxid=1881222, kingdom=10239)
Vibrio phage 1.206.O._10N.222.51.B10 (taxid=1881223, kingdom=10239)
Vibrio phage 1.207.B._10N.222.51.C2 (taxid=1881224, kingdom=10239)
Vibrio phage 1.226.O._10N.261.48.E5 (taxid=1881227, kingdom=10239)
Vibrio phage 1.228.O._10N.261.49.C1 (taxid=1881228, kingdom=10239)
Vibrio phage 1.233.A._10N.261.51.E6 (taxid=1881229, kingdom=10239)
Vibrio phage 1.233.B._10N.261.51.E6 (taxid=1881230, kingdom=10239)
Vibrio phage 1.239.O._10N.261.52.F6 (taxid=1881233, kingdom=10239)
Vibrio phage 1.240.O._10N.261.52.F8 (taxid=1881234, kingdom=10239)
Vibrio phage 1.242.O._10N.261.54.B2 (taxid=1881235, kingdom=10239)
Vibrio phage 1.262.O._10N.286.51.A9 (taxid=1881238, kingdom=10239)
Vibrio phage 1.266.O._10N.286.52.F9 (taxid=1881239, kingdom=10239)
Vibrio phage 2.117.O._10N.261.45.E9 (taxid=1881240, kingdom=10239)
Vibrio phage 1.007.O._10N.261.55.F9 (taxid=1881241, kingdom=10239)
Vibrio phage 1.013.O._10N.286.54.F9 (taxid=1881244, kingdom=10239)
Vibrio phage 1.047.O._10N.286.55.F2 (taxid=1881245, kingdom=10239)
Vibrio phage 1.105.O._10N.286.49.B4 (taxid=1881247, kingdom=10239)
Vibrio phage 1.106.O._10N.286.51.F7 (taxid=1881248, kingdom=10239)
Vibrio phage 1.122.A._10N.286.46.F8 (taxid=1881249, kingdom=10239)
Vibrio phage 1.122.B._10N.286.46.F8 (taxid=1881250, kingdom=10239)
Vibrio phage 1.149.O._10N.286.55.A12 (taxid=1881251, kingdom=10239)
Vibrio phage 1.173.O._10N.261.55.A11 (taxid=1881252, kingdom=10239)
Vibrio phage 1.178.O._10N.286.45.E12 (taxid=1881253, kingdom=10239)
Vibrio phage 1.184.A._10N.286.49.A5 (taxid=1881254, kingdom=10239)
Vibrio phage 1.186.O._10N.286.49.E3 (taxid=1881255, kingdom=10239)
Vibrio phage 1.199.A._10N.286.55.C10 (taxid=1881259, kingdom=10239)
Vibrio phage 1.199.B._10N.286.55.C10 (taxid=1881260, kingdom=10239)
Vibrio phage 1.201.B._10N.286.55.F1 (taxid=1881261, kingdom=10239)
Vibrio phage 1.202.O._10N.222.45.E8 (taxid=1881262, kingdom=10239)
Vibrio phage 1.214.O._10N.222.54.F11 (taxid=1881264, kingdom=10239)
Vibrio phage 1.236.O._10N.261.52.C4 (taxid=1881265, kingdom=10239)
Vibrio phage 1.243.O._10N.261.54.B5 (taxid=1881266, kingdom=10239)
Vibrio phage 1.248.O._10N.261.54.F1 (taxid=1881267, kingdom=10239)
Vibrio phage 1.256.O._10N.286.45.F8 (taxid=1881271, kingdom=10239)
Vibrio phage 1.263.A._10N.286.51.B1 (taxid=1881272, kingdom=10239)
Vibrio phage 1.263.B._10N.286.51.B1 (taxid=1881273, kingdom=10239)
Vibrio phage 1.273.O._10N.286.54.C7 (taxid=1881275, kingdom=10239)
Vibrio phage 1.275.O._10N.286.54.E11 (taxid=1881276, kingdom=10239)
Vibrio phage 1.278.O._10N.286.54.E8 (taxid=1881278, kingdom=10239)
Vibrio phage 1.284.A._10N.286.55.A5 (taxid=1881279, kingdom=10239)
Vibrio phage 1.286.O._10N.286.55.C4 (taxid=1881280, kingdom=10239)
Vibrio phage 1.287.O._10N.286.55.C7 (taxid=1881281, kingdom=10239)
Vibrio phage 1.289.A._10N.286.55.E8 (taxid=1881282, kingdom=10239)
Vibrio phage 1.291.O._10N.286.55.F6 (taxid=1881283, kingdom=10239)
Vibrio phage 2.275.O._10N.286.54.E11 (taxid=1881285, kingdom=10239)
Vibrio phage 1.003.O._10N.286.48.A2 (taxid=1881287, kingdom=10239)
Vibrio phage 1.004.O._10N.261.54.A2 (taxid=1881288, kingdom=10239)
Vibrio phage 1.009.O._10N.261.51.C9 (taxid=1881289, kingdom=10239)
Vibrio phage 1.016.O._10N.286.46.A11 (taxid=1881291, kingdom=10239)
Vibrio phage 1.024.O._10N.261.45.F8 (taxid=1881292, kingdom=10239)
Vibrio phage 1.036.O._10N.286.45.C3 (taxid=1881296, kingdom=10239)
Vibrio phage 1.037.O._10N.261.52.F7 (taxid=1881297, kingdom=10239)
Vibrio phage 1.038.O._10N.286.51.C2 (taxid=1881298, kingdom=10239)
Vibrio phage 1.039.O._10N.286.55.A2 (taxid=1881299, kingdom=10239)
Vibrio phage 1.042.O._10N.286.45.B8 (taxid=1881301, kingdom=10239)
Vibrio phage 1.056.O._10N.261.48.C11 (taxid=1881305, kingdom=10239)
Vibrio phage 1.061.O._10N.286.55.C2 (taxid=1881307, kingdom=10239)
Vibrio phage 1.063.O._10N.261.45.C7 (taxid=1881308, kingdom=10239)
Vibrio phage 1.066.O._10N.286.46.E8 (taxid=1881309, kingdom=10239)
Vibrio phage 1.067.O._10N.261.52.C9 (taxid=1881310, kingdom=10239)
Vibrio phage 1.068.O._10N.261.51.F8 (taxid=1881311, kingdom=10239)
Vibrio phage 1.071.A._10N.286.46.A12 (taxid=1881313, kingdom=10239)
Vibrio phage 1.079.O._10N.286.45.E9 (taxid=1881314, kingdom=10239)
Vibrio phage 1.087.A._10N.261.45.F9 (taxid=1881316, kingdom=10239)
Vibrio phage 1.090.B._10N.286.48.F1 (taxid=1881319, kingdom=10239)
Vibrio phage 1.091.O._10N.286.52.B12 (taxid=1881320, kingdom=10239)
Vibrio phage 1.100.O._10N.261.45.C3 (taxid=1881322, kingdom=10239)
Vibrio phage 1.111.A._10N.286.45.E6 (taxid=1881328, kingdom=10239)
Vibrio phage 1.111.B._10N.286.45.E6 (taxid=1881329, kingdom=10239)
Vibrio phage 1.112.O._10N.286.46.B11 (taxid=1881330, kingdom=10239)
Vibrio phage 1.137.O._10N.261.46.B5 (taxid=1881335, kingdom=10239)
Vibrio phage 1.138.O._10N.261.48.A1 (taxid=1881336, kingdom=10239)
Vibrio phage 1.158.O._10N.261.45.E12 (taxid=1881338, kingdom=10239)
Vibrio phage 1.161.O._10N.261.48.C5 (taxid=1881340, kingdom=10239)
Vibrio phage 1.174.O._10N.261.55.A8 (taxid=1881343, kingdom=10239)
Vibrio phage 1.175.O._10N.261.55.B3 (taxid=1881344, kingdom=10239)
Vibrio phage 1.223.O._10N.261.48.A9 (taxid=1881350, kingdom=10239)
Vibrio phage 1.251.O._10N.261.55.E5 (taxid=1881355, kingdom=10239)
Vibrio phage 1.254.O._10N.286.45.C8 (taxid=1881356, kingdom=10239)
Vibrio phage 1.285.O._10N.286.55.C12 (taxid=1881375, kingdom=10239)
Vibrio phage 2.044.O._10N.261.51.B8 (taxid=1881376, kingdom=10239)
Vibrio phage 2.058.O._10N.286.46.B8 (taxid=1881377, kingdom=10239)
Vibrio phage 3.058.O._10N.286.46.B8 (taxid=1881379, kingdom=10239)
Vibrio phage 1.029.O._10N.261.55.A7 (taxid=1881381, kingdom=10239)
Vibrio phage 1.054.O._10N.261.52.A1 (taxid=1881382, kingdom=10239)
Vibrio phage 1.124.O._10N.286.49.B1 (taxid=1881384, kingdom=10239)
Vibrio phage 1.154.O._10N.222.52.B12 (taxid=1881387, kingdom=10239)
Vibrio phage 1.170.O._10N.261.52.C3 (taxid=1881390, kingdom=10239)
Vibrio phage 1.183.O._10N.286.48.B7 (taxid=1881391, kingdom=10239)
Vibrio phage 1.017.O._10N.286.55.C11 (taxid=1881397, kingdom=10239)
Vibrio phage 1.075.O._10N.286.55.B10 (taxid=1881398, kingdom=10239)
Vibrio phage 1.093.O._10N.286.55.E10 (taxid=1881399, kingdom=10239)
Vibrio phage 1.094.O._10N.286.55.E12 (taxid=1881400, kingdom=10239)
Vibrio phage 1.210.O._10N.222.52.C2 (taxid=1881406, kingdom=10239)
Vibrio phage 1.030.O._10N.222.55.F9 (taxid=1881407, kingdom=10239)
Vibrio phage 1.135.O._10N.222.54.B6 (taxid=1881408, kingdom=10239)
Vibrio phage 1.164.O._10N.261.51.A7 (taxid=1881409, kingdom=10239)
Vibrio phage 1.213.O._10N.222.54.F10 (taxid=1881410, kingdom=10239)
Vibrio phage 1.216.O._10N.222.55.C12 (taxid=1881411, kingdom=10239)
Vibrio phage 1.244.A._10N.261.54.C3 (taxid=1881412, kingdom=10239)
Vibrio phage 1.246.O._10N.261.54.E10 (taxid=1881413, kingdom=10239)
Vibrio phage 1.005.O._10N.286.48.F2 (taxid=1881414, kingdom=10239)
Vibrio phage 1.046.O._10N.286.52.E3 (taxid=1881423, kingdom=10239)
Vibrio phage 1.086.O._10N.222.51.F8 (taxid=1881424, kingdom=10239)
Vibrio phage 1.151.O._10N.222.46.B1 (taxid=1881430, kingdom=10239)
Vibrio phage 1.179.O._10N.286.45.F12 (taxid=1881432, kingdom=10239)
Vibrio phage 1.181.O._10N.286.46.C9 (taxid=1881433, kingdom=10239)
Vibrio phage 1.187.O._10N.286.49.F1 (taxid=1881434, kingdom=10239)
Vibrio phage 1.191.O._10N.286.52.B4 (taxid=1881435, kingdom=10239)
Vibrio phage 1.193.O._10N.286.52.C6 (taxid=1881436, kingdom=10239)
Vibrio phage 1.215.A._10N.222.54.F7 (taxid=1881438, kingdom=10239)
Vibrio phage 1.215.B._10N.222.54.F7 (taxid=1881439, kingdom=10239)
Vibrio phage 1.225.O._10N.261.48.B7 (taxid=1881440, kingdom=10239)
Vibrio phage 1.247.A._10N.261.54.E12 (taxid=1881441, kingdom=10239)
Vibrio phage 1.247.B._10N.261.54.E12 (taxid=1881442, kingdom=10239)
Vibrio phage 1.255.O._10N.286.45.F1 (taxid=1881444, kingdom=10239)
Vibrio phage 1.257.O._10N.286.46.A4 (taxid=1881445, kingdom=10239)
Vibrio phage 1.211.A._10N.222.52.F11 (taxid=1881452, kingdom=10239)
Vibrio phage 1.211.B._10N.222.52.F11 (taxid=1881453, kingdom=10239)
Vibrio phage 1.064.O._10N.261.52.E2 (taxid=1881455, kingdom=10239)
Vibrio phage 1.072.O._10N.286.48.A12 (taxid=1881456, kingdom=10239)
Escherichia phage Envy (taxid=1883200, kingdom=10239)
Escherichia phage Gluttony (taxid=1883202, kingdom=10239)
Escherichia phage Lust (taxid=1883204, kingdom=10239)
Escherichia phage Pride (taxid=1883205, kingdom=10239)
Escherichia phage Sloth (taxid=1883206, kingdom=10239)
Phage Wrath (taxid=1883207, kingdom=10239)
Synechococcus phage S-CAM22 (taxid=1883365, kingdom=10239)
Synechococcus phage S-CAM3 (taxid=1883366, kingdom=10239)
Synechococcus phage S-CAM4 (taxid=1883367, kingdom=10239)
Synechococcus phage S-CAM7 (taxid=1883368, kingdom=10239)
Synechococcus phage S-CAM9 (taxid=1883369, kingdom=10239)
Cronobacter phage vB_CsaM_leB (taxid=1885242, kingdom=10239)
Cronobacter phage vB_CsaM_leN (taxid=1885245, kingdom=10239)
Gordonia phage Bantam (taxid=1887641, kingdom=10239)
Gordonia phage BatStarr (taxid=1887642, kingdom=10239)
Gordonia phage Cucurbita (taxid=1887645, kingdom=10239)
Gordonia phage Eyre (taxid=1887646, kingdom=10239)
Gordonia phage Ghobes (taxid=1887647, kingdom=10239)
Gordonia phage JSwag (taxid=1887649, kingdom=10239)
Gordonia phage Jumbo (taxid=1887650, kingdom=10239)
Gordonia phage Remus (taxid=1887652, kingdom=10239)
Gordonia phage Strosahl (taxid=1887653, kingdom=10239)
Gordonia phage Zirinka (taxid=1887656, kingdom=10239)
Rhodococcus phage ChewyVIII (taxid=1887657, kingdom=10239)
Mycobacterium phage Gengar (taxid=1891963, kingdom=10239)
Cronobacter phage Pet-CM3-4 (taxid=1892569, kingdom=10239)
Mycobacterium phage TBond007 (taxid=1897424, kingdom=10239)
Mycobacterium phage Bigfoot (taxid=1897425, kingdom=10239)
Arthrobacter phage Greenhouse (taxid=1897428, kingdom=10239)
Arthrobacter phage Oxynfrius (taxid=1897429, kingdom=10239)
Salinivibrio phage SMHB1 (taxid=1897436, kingdom=10239)
Mycobacterium phage PhancyPhin (taxid=1897438, kingdom=10239)
Mycobacterium phage Jaan (taxid=1897439, kingdom=10239)
Mycobacterium phage Kerberos (taxid=1897440, kingdom=10239)
