MGYP,ERZ_x,MGYC,Start,End,Strand,Contig,MGYA,Contig Length,Phage,Number of CDSes
MGYP003263948036,ERZ1764828,MGYC001116877220,1,750,1,ERZ1764828.152-NODE-152-length-80503-cov-8.190545,MGYA00587515,80.503,False,79
MGYP003264177547,ERZ1764774,MGYC001116826321,13691,14551,-1,ERZ1764774.248-NODE-248-length-38228-cov-8.144605,MGYA00587407,38.228,False,59
MGYP003264244796,ERZ1764837,MGYC001119314032,21876,22928,-1,ERZ1764837.508-NODE-508-length-27635-cov-28.973532,MGYA00587508,27.635,False,35
MGYP003264244796,ERZ1764873,MGYC001119319236,8445,9497,1,ERZ1764873.288-NODE-288-length-43367-cov-6.363987,MGYA00587473,43.367,False,62
MGYP003264412063,ERZ1764798,MGYC001116831204,1867,2922,-1,ERZ1764798.88-NODE-88-length-52903-cov-21.827297,MGYA00587385,52.903,False,76
MGYP003264412063,ERZ1764815,MGYC001116997581,18109,19164,1,ERZ1764815.1030-NODE-1030-length-32017-cov-9.657124,MGYA00587505,32.017,False,43
MGYP003264593952,ERZ1764863,MGYC001119380793,27606,28592,1,ERZ1764863.605-NODE-605-length-41591-cov-18.766131,MGYA00587364,41.591,False,56
MGYP003264862627,ERZ1764815,MGYC001116875686,43885,44880,-1,ERZ1764815.207-NODE-207-length-86891-cov-111.872288,MGYA00587505,86.891,False,118
MGYP003264862627,ERZ1764834,MGYC001119254461,30577,31572,-1,ERZ1764834.108-NODE-108-length-64666-cov-5.178778,MGYA00587509,64.666,False,83
MGYP003265000637,ERZ1764811,MGYC001116857970,5293,7647,-1,ERZ1764811.177-NODE-177-length-51396-cov-10.280283,MGYA00587380,51.396,False,62
MGYP003266128837,ERZ1764815,MGYC001116987769,6101,7210,-1,ERZ1764815.958-NODE-958-length-33480-cov-6.475542,MGYA00587505,33.48,False,60
MGYP003266910365,ERZ1764784,MGYC001116980572,4472,5500,1,ERZ1764784.1038-NODE-1038-length-28305-cov-6.791788,MGYA00587397,28.305,False,38
MGYP003266910365,ERZ1764863,MGYC001119385739,34313,35341,-1,ERZ1764863.640-NODE-640-length-39812-cov-8.936514,MGYA00587364,39.812,False,48
MGYP003269194487,ERZ1764840,MGYC001119252426,38237,39394,1,ERZ1764840.20-NODE-20-length-66098-cov-17.190240,MGYA00587499,66.098,False,92
MGYP003269244935,ERZ1764837,MGYC001119252261,74061,74882,-1,ERZ1764837.8-NODE-8-length-328897-cov-8.842903,MGYA00587508,328.897,False,347
MGYP003269545935,ERZ1764867,MGYC001119291979,6646,7653,1,ERZ1764867.353-NODE-353-length-25005-cov-13.577876,MGYA00587476,25.005,False,35
MGYP003269546006,ERZ1764838,MGYC001119252663,7171,9396,-1,ERZ1764838.95-NODE-95-length-27700-cov-10.121722,MGYA00587376,27.7,False,40
MGYP003269603043,ERZ1764841,MGYC001119253025,131250,132179,1,ERZ1764841.26-NODE-26-length-134442-cov-8.729743,MGYA00587496,134.442,False,138
MGYP003270025326,ERZ1764880,MGYC001119279251,273481,274536,1,ERZ1764880.3-NODE-3-length-336324-cov-30.415325,MGYA00587368,336.324,False,354
MGYP003270025326,ERZ1764887,MGYC001121696888,273481,274536,1,ERZ1764887.2-NODE-2-length-336324-cov-44.641332,MGYA00587365,336.324,False,354
MGYP003271013718,ERZ1764856,MGYC001119296367,25104,26159,-1,ERZ1764856.189-NODE-189-length-93601-cov-13.647179,MGYA00587484,93.601,False,123
MGYP003272286505,ERZ1764856,MGYC001119392503,17226,18785,1,ERZ1764856.758-NODE-758-length-43426-cov-11.519537,MGYA00587484,43.426,False,67
MGYP003272918382,ERZ1764856,MGYC001119462080,3,884,-1,ERZ1764856.1273-NODE-1273-length-29700-cov-22.410019,MGYA00587484,29.7,False,46
MGYP003273455408,ERZ1764887,MGYC001121699918,44465,45535,-1,ERZ1764887.109-NODE-109-length-108947-cov-7.210383,MGYA00587365,108.947,False,121
MGYP003275621743,ERZ1767240,MGYC001121736964,67123,68322,1,ERZ1767240.52-NODE-52-length-123884-cov-12.076921,MGYA00587562,123.884,False,152
MGYP003275621743,ERZ1767253,MGYC001121748108,67123,68322,1,ERZ1767253.74-NODE-74-length-123884-cov-17.552334,MGYA00587550,123.884,False,152
MGYP003275733288,ERZ1764885,MGYC001121696976,45516,46511,-1,ERZ1764885.40-NODE-40-length-99746-cov-7.829814,MGYA00587466,99.746,False,137
MGYP003275755288,ERZ1764888,MGYC001121702054,62316,63776,1,ERZ1764888.153-NODE-153-length-80207-cov-112.564141,MGYA00587527,80.207,False,111
MGYP003275755288,ERZ1764889,MGYC001121697309,42038,43498,-1,ERZ1764889.32-NODE-32-length-96511-cov-11.971998,MGYA00587526,96.511,False,117
MGYP003275755288,ERZ1764890,MGYC001121699080,57352,58812,1,ERZ1764890.106-NODE-106-length-79424-cov-127.066374,MGYA00587528,79.424,False,109
MGYP003275796587,ERZ1764888,MGYC001121711099,15255,16271,-1,ERZ1764888.351-NODE-351-length-44804-cov-86.512727,MGYA00587527,44.804,False,62
MGYP003275796587,ERZ1764890,MGYC001121718548,10412,11428,1,ERZ1764890.702-NODE-702-length-26638-cov-80.332506,MGYA00587528,26.638,False,34
MGYP003275979532,ERZ1767161,MGYC001121718984,78508,79704,-1,ERZ1767161.106-NODE-106-length-148226-cov-8.815456,MGYA00587573,148.226,False,156
MGYP003276060112,ERZ1767132,MGYC001121706559,19669,20682,-1,ERZ1767132.275-NODE-275-length-59046-cov-6.901409,MGYA00587590,59.046,False,66
MGYP003276179584,ERZ1767161,MGYC001121732020,19816,21009,1,ERZ1767161.168-NODE-168-length-115997-cov-11.479593,MGYA00587573,115.997,False,116
MGYP003276277968,ERZ1767214,MGYC001121757997,43767,44822,1,ERZ1767214.411-NODE-411-length-45011-cov-7.947504,MGYA00587561,45.011,False,78
MGYP003276403567,ERZ1767214,MGYC001121767951,12676,13686,1,ERZ1767214.515-NODE-515-length-36315-cov-10.607226,MGYA00587561,36.315,False,46
MGYP003276420649,ERZ1764888,MGYC001121715881,23216,24172,-1,ERZ1764888.443-NODE-443-length-35260-cov-19.356768,MGYA00587527,35.26,False,56
MGYP003276467245,ERZ1767214,MGYC001121773015,25807,26802,-1,ERZ1767214.579-NODE-579-length-32295-cov-9.722333,MGYA00587561,32.295,False,39
MGYP003276472124,ERZ1767161,MGYC001121752692,11099,11908,1,ERZ1767161.274-NODE-274-length-75549-cov-7.723435,MGYA00587573,75.549,False,75
MGYP003276588014,ERZ1767174,MGYC001121735505,38363,39307,1,ERZ1767174.378-NODE-378-length-46927-cov-8.044760,MGYA00587582,46.927,False,48
MGYP003276635451,ERZ1767174,MGYC001121738161,22179,24089,-1,ERZ1767174.411-NODE-411-length-43954-cov-18.089023,MGYA00587582,43.954,False,70
MGYP003276663587,ERZ1767244,MGYC001121757176,12916,13800,1,ERZ1767244.216-NODE-216-length-55507-cov-7.117904,MGYA00587559,55.507,False,61
MGYP003276894079,ERZ1767154,MGYC001121772899,23282,24358,1,ERZ1767154.521-NODE-521-length-48476-cov-8.555565,MGYA00587585,48.476,False,69
MGYP003276894079,ERZ1767202,MGYC001121833331,23282,24358,1,ERZ1767202.659-NODE-659-length-48941-cov-14.898151,MGYA00587572,48.941,False,70
MGYP003276935512,ERZ1767255,MGYC001121797341,53570,55042,1,ERZ1767255.302-NODE-302-length-55211-cov-10.410726,MGYA00587558,55.211,False,68
MGYP003276937307,ERZ1764888,MGYC001121712555,21483,22697,-1,ERZ1764888.379-NODE-379-length-41699-cov-30.165594,MGYA00587527,41.699,False,79
MGYP003276949182,ERZ1764890,MGYC001121697323,48668,50185,-1,ERZ1764890.17-NODE-17-length-167926-cov-16.934313,MGYA00587528,167.926,False,152
MGYP003276949182,ERZ1764891,MGYC001121697457,48668,50185,-1,ERZ1764891.16-NODE-16-length-167905-cov-88.616133,MGYA00587525,167.905,False,152
MGYP003276977271,ERZ1767161,MGYC001121792718,26091,26975,1,ERZ1767161.565-NODE-565-length-38728-cov-23.002224,MGYA00587573,38.728,False,52
MGYP003277000612,ERZ1767128,MGYC001121747264,41921,42805,-1,ERZ1767128.388-NODE-388-length-63969-cov-6.406343,MGYA00587574,63.969,False,62
MGYP003277278832,ERZ1767154,MGYC001121801781,20314,21186,1,ERZ1767154.777-NODE-777-length-32652-cov-6.596190,MGYA00587585,32.652,False,51
MGYP003277278832,ERZ1767202,MGYC001121871302,9307,10179,1,ERZ1767202.988-NODE-988-length-30987-cov-17.416624,MGYA00587572,30.987,False,41
MGYP003277293739,ERZ1767154,MGYC001121802931,12321,13604,-1,ERZ1767154.789-NODE-789-length-32328-cov-6.914294,MGYA00587585,32.328,False,50
MGYP003277293739,ERZ1767202,MGYC001121868549,12325,13608,-1,ERZ1767202.958-NODE-958-length-32332-cov-15.897512,MGYA00587572,32.332,False,50
MGYP003277402998,ERZ1764890,MGYC001121699264,31518,32552,1,ERZ1764890.115-NODE-115-length-78076-cov-76.069891,MGYA00587528,78.076,False,80
MGYP003277402998,ERZ1764891,MGYC001121700749,46742,47776,-1,ERZ1764891.163-NODE-163-length-64758-cov-15.690107,MGYA00587525,64.758,False,51
MGYP003277570321,ERZ1760280,MGYC001161179275,55977,56924,-1,ERZ1760280.6-NODE-6-length-138264-cov-148.299619,MGYA00586962,138.264,False,167
MGYP003277570321,ERZ1767255,MGYC001121843564,20158,21105,-1,ERZ1767255.674-NODE-674-length-32299-cov-11.176281,MGYA00587558,32.299,False,43
MGYP003277601928,ERZ1764890,MGYC001121701708,22887,24479,-1,ERZ1764890.219-NODE-219-length-56765-cov-20.840786,MGYA00587528,56.765,False,85
MGYP003277601928,ERZ1764891,MGYC001121703042,22846,24438,-1,ERZ1764891.251-NODE-251-length-49823-cov-15.282230,MGYA00587525,49.823,False,78
MGYP003277624001,ERZ1767255,MGYC001121846570,15516,16553,-1,ERZ1767255.708-NODE-708-length-31050-cov-5.665430,MGYA00587558,31.05,False,45
MGYP003277902812,ERZ1767255,MGYC001121870367,12262,13404,-1,ERZ1767255.937-NODE-937-length-25249-cov-7.382869,MGYA00587558,25.249,False,32
MGYP003277925275,ERZ1767202,MGYC001121866015,25359,26384,-1,ERZ1767202.935-NODE-935-length-33334-cov-7.926080,MGYA00587572,33.334,False,47
MGYP003277951595,ERZ1767133,MGYC001121761182,24313,25872,-1,ERZ1767133.639-NODE-639-length-47195-cov-9.412007,MGYA00587592,47.195,False,69
MGYP003278046883,ERZ1767218,MGYC001121790403,41431,42531,-1,ERZ1767218.349-NODE-349-length-70109-cov-11.218589,MGYA00587570,70.109,False,72
MGYP003278057517,ERZ1764891,MGYC001121713523,12889,14646,1,ERZ1764891.571-NODE-571-length-28544-cov-1143.822844,MGYA00587525,28.544,False,48
MGYP003278073011,ERZ1764891,MGYC001121714100,10362,11444,1,ERZ1764891.586-NODE-586-length-28131-cov-22.593639,MGYA00587525,28.131,False,33
MGYP003278458815,ERZ1767272,MGYC001125435782,206841,207854,1,ERZ1767272.12-NODE-12-length-326951-cov-8.745384,MGYA00587552,326.951,False,318
MGYP003278474377,ERZ1767272,MGYC001125438437,53608,54645,-1,ERZ1767272.80-NODE-80-length-141521-cov-8.980815,MGYA00587552,141.521,False,134
MGYP003278918046,ERZ1767138,MGYC001121786009,2565,3911,-1,ERZ1767138.1035-NODE-1035-length-27847-cov-6.255109,MGYA00587588,27.847,False,26
MGYP003280176808,ERZ1767359,MGYC001125477913,12230,13690,-1,ERZ1767359.667-NODE-667-length-33888-cov-8.385186,MGYA00587536,33.888,False,49
MGYP003280295012,ERZ1767278,MGYC001125438840,34470,36044,1,ERZ1767278.90-NODE-90-length-114995-cov-13.015904,MGYA00587547,114.995,False,105
MGYP003280298530,ERZ1767221,MGYC001121869580,27222,28445,-1,ERZ1767221.917-NODE-917-length-45415-cov-4.377249,MGYA00587569,45.415,False,68
MGYP003280568925,ERZ1767195,MGYC001121989418,3282,4802,1,ERZ1767195.1676-NODE-1676-length-29434-cov-5.507778,MGYA00587579,29.434,False,48
MGYP003280643621,ERZ1767195,MGYC001122001318,15923,16951,-1,ERZ1767195.1768-NODE-1768-length-28203-cov-7.271316,MGYA00587579,28.203,False,40
MGYP003280867281,ERZ1767235,MGYC001121942359,37992,38948,-1,ERZ1767235.1204-NODE-1204-length-38950-cov-33.035300,MGYA00587560,38.95,False,36
MGYP003281581150,ERZ1767359,MGYC001125450494,47063,47995,-1,ERZ1767359.254-NODE-254-length-56967-cov-13.129867,MGYA00587536,56.967,False,58
MGYP003282319403,ERZ1767258,MGYC001125455229,13966,15000,-1,ERZ1767258.517-NODE-517-length-36626-cov-5.669273,MGYA00587557,36.626,False,48
MGYP003282319403,ERZ1767345,MGYC001125619115,2166,3200,-1,ERZ1767345.1522-NODE-1522-length-25916-cov-5.987278,MGYA00587537,25.916,False,36
MGYP003285002486,ERZ1767329,MGYC001125602162,8580,9575,-1,ERZ1767329.1643-NODE-1643-length-27894-cov-7.144653,MGYA00587544,27.894,False,42
MGYP003285982484,ERZ1767268,MGYC001125436018,3,1019,1,ERZ1767268.55-NODE-55-length-82353-cov-369.837189,MGYA00587548,82.353,False,78
MGYP003286049880,ERZ1767321,MGYC001125436517,47051,48331,1,ERZ1767321.32-NODE-32-length-167482-cov-13.954117,MGYA00587545,167.482,False,268
MGYP000566217601,ERZ1767321,MGYC001125436517,45410,46969,1,ERZ1767321.32-NODE-32-length-167482-cov-13.954117,MGYA00587545,167.482,False,268
MGYP003286064531,ERZ1767321,MGYC001125436878,45893,46891,1,ERZ1767321.44-NODE-44-length-142584-cov-12.907198,MGYA00587545,142.584,False,159
MGYP003286304730,ERZ1767321,MGYC001125456050,11639,12661,1,ERZ1767321.496-NODE-496-length-26884-cov-6.734317,MGYA00587545,26.884,False,28
MGYP003286685476,ERZ1767511,MGYC001125446257,14905,15927,1,ERZ1767511.56-NODE-56-length-113901-cov-11.316709,MGYA00587631,113.901,False,183
MGYP003286778184,ERZ1767370,MGYC001125463908,27569,28492,-1,ERZ1767370.200-NODE-200-length-98373-cov-6.714183,MGYA00587529,98.373,False,97
MGYP003286881807,ERZ1767471,MGYC001125440681,119582,120958,-1,ERZ1767471.12-NODE-12-length-208279-cov-24.746729,MGYA00587633,208.279,False,294
MGYP003287024730,ERZ1767611,MGYC001125481574,78737,79819,1,ERZ1767611.46-NODE-46-length-136970-cov-6.472797,MGYA00587602,136.97,False,218
MGYP003287127415,ERZ1767600,MGYC001125454938,37712,38809,-1,ERZ1767600.8-NODE-8-length-55415-cov-4.866275,MGYA00587627,55.415,False,79
MGYP003287154602,ERZ1767600,MGYC001125456335,33526,34890,-1,ERZ1767600.33-NODE-33-length-35774-cov-12.370335,MGYA00587627,35.774,False,51
MGYP003287176630,ERZ1767511,MGYC001125484836,28529,29527,1,ERZ1767511.508-NODE-508-length-34362-cov-3.078643,MGYA00587631,34.362,False,32
MGYP003287248996,ERZ1767511,MGYC001125492158,10221,11570,-1,ERZ1767511.607-NODE-607-length-30752-cov-59.652181,MGYA00587631,30.752,False,33
MGYP003287283929,ERZ1767611,MGYC001125508659,61936,63489,-1,ERZ1767611.177-NODE-177-length-83813-cov-21.121911,MGYA00587602,83.813,False,86
MGYP003287350522,ERZ1767511,MGYC001125502621,24680,25981,1,ERZ1767511.756-NODE-756-length-25982-cov-13.224862,MGYA00587631,25.982,False,31
MGYP003287389548,ERZ1767471,MGYC001125465957,15219,16430,1,ERZ1767471.333-NODE-333-length-41995-cov-4.619003,MGYA00587633,41.995,False,82
MGYP003287510435,ERZ1767602,MGYC001125546981,6711,8303,1,ERZ1767602.667-NODE-667-length-36212-cov-4.767680,MGYA00587619,36.212,False,53
MGYP003287511045,ERZ1767602,MGYC001125546981,22005,23252,1,ERZ1767602.667-NODE-667-length-36212-cov-4.767680,MGYA00587619,36.212,False,53
MGYP003287526504,ERZ1767611,MGYC001125535122,43519,44754,1,ERZ1767611.331-NODE-331-length-60458-cov-19.250567,MGYA00587602,60.458,False,62
MGYP003287582131,ERZ1767602,MGYC001125554915,5422,6306,1,ERZ1767602.752-NODE-752-length-33573-cov-25.214034,MGYA00587619,33.573,False,54
MGYP003287694463,ERZ1767471,MGYC001125491679,11602,12777,1,ERZ1767471.682-NODE-682-length-28258-cov-24.219051,MGYA00587633,28.258,False,40
MGYP003287755657,ERZ1767471,MGYC001125498185,16802,17869,1,ERZ1767471.773-NODE-773-length-26589-cov-15.012248,MGYA00587633,26.589,False,31
MGYP003287824773,ERZ1767611,MGYC001125572125,21800,22900,-1,ERZ1767611.602-NODE-602-length-42322-cov-21.799584,MGYA00587602,42.322,False,59
MGYP003287842363,ERZ1767467,MGYC001125440167,36078,37166,-1,ERZ1767467.32-NODE-32-length-72319-cov-19.745627,MGYA00587634,72.319,False,96
MGYP003287842363,ERZ1767568,MGYC001125457185,36077,37165,-1,ERZ1767568.81-NODE-81-length-72318-cov-28.415648,MGYA00587628,72.318,False,96
MGYP003287842363,ERZ1767623,MGYC001132124148,36075,37163,-1,ERZ1767623.61-NODE-61-length-70787-cov-10.803498,MGYA00587613,70.787,False,94
MGYP003287902229,ERZ1767467,MGYC001125441842,27363,28442,-1,ERZ1767467.79-NODE-79-length-50512-cov-5.826506,MGYA00587634,50.512,False,76
MGYP003287902229,ERZ1767568,MGYC001125464829,14099,15178,1,ERZ1767568.167-NODE-167-length-50512-cov-9.095051,MGYA00587628,50.512,False,76
MGYP003287927336,ERZ1767467,MGYC001125442750,22380,23399,1,ERZ1767467.103-NODE-103-length-46222-cov-6.474257,MGYA00587634,46.222,False,77
MGYP003287927336,ERZ1767568,MGYC001125468137,30444,31463,1,ERZ1767568.208-NODE-208-length-46222-cov-7.688500,MGYA00587628,46.222,False,77
MGYP003287963422,ERZ1767467,MGYC001125444223,13295,14248,1,ERZ1767467.139-NODE-139-length-40266-cov-4.061202,MGYA00587634,40.266,False,61
MGYP003287963422,ERZ1767568,MGYC001125474789,26019,26972,-1,ERZ1767568.287-NODE-287-length-40266-cov-4.432767,MGYA00587628,40.266,False,61
MGYP003288011096,ERZ1767467,MGYC001125446540,13843,15084,1,ERZ1767467.199-NODE-199-length-32392-cov-6.087454,MGYA00587634,32.392,False,52
MGYP003288011096,ERZ1767568,MGYC001125485328,13811,15052,1,ERZ1767568.423-NODE-423-length-32240-cov-7.921641,MGYA00587628,32.24,False,52
MGYP003288053024,ERZ1767467,MGYC001125449318,24168,25385,-1,ERZ1767467.265-NODE-265-length-26841-cov-3.855671,MGYA00587634,26.841,False,37
MGYP003288053288,ERZ1767467,MGYC001125449364,9332,10516,-1,ERZ1767467.266-NODE-266-length-26759-cov-3.850472,MGYA00587634,26.759,False,34
MGYP003288053288,ERZ1767568,MGYC001125462906,48644,49828,1,ERZ1767568.145-NODE-145-length-52953-cov-6.522458,MGYA00587628,52.953,False,79
MGYP003288068656,ERZ1767566,MGYC001125447747,16801,17835,1,ERZ1767566.32-NODE-32-length-35114-cov-6.127699,MGYA00587629,35.114,False,55
MGYP003288077242,ERZ1767566,MGYC001125448124,17308,18498,1,ERZ1767566.41-NODE-41-length-32206-cov-5.609748,MGYA00587629,32.206,False,42
MGYP003288079872,ERZ1767566,MGYC001125448198,26430,27335,-1,ERZ1767566.43-NODE-43-length-31922-cov-14.029623,MGYA00587629,31.922,False,62
MGYP003288086286,ERZ1767566,MGYC001125448492,23677,25164,1,ERZ1767566.49-NODE-49-length-30813-cov-5.555628,MGYA00587629,30.813,False,38
MGYP003288097090,ERZ1767566,MGYC001125448948,20654,21559,-1,ERZ1767566.60-NODE-60-length-27154-cov-5.472859,MGYA00587629,27.154,False,45
MGYP003288119359,ERZ1767620,MGYC001126880356,92151,92954,-1,ERZ1767620.16-NODE-16-length-111025-cov-4.374624,MGYA00587621,111.025,False,103
MGYP003288123158,ERZ1767568,MGYC001125470805,27855,28859,1,ERZ1767568.237-NODE-237-length-43571-cov-6.361591,MGYA00587628,43.571,False,67
MGYP003288178933,ERZ1767568,MGYC001125453294,24472,25611,-1,ERZ1767568.42-NODE-42-length-93567-cov-5.266896,MGYA00587628,93.567,False,140
MGYP003288214052,ERZ1767611,MGYC001125627381,3373,4335,-1,ERZ1767611.1068-NODE-1068-length-27962-cov-3.899201,MGYA00587602,27.962,False,29
MGYP003288231511,ERZ1767611,MGYC001125630383,3599,4774,-1,ERZ1767611.1094-NODE-1094-length-27504-cov-3.784983,MGYA00587602,27.504,False,28
MGYP003288323838,ERZ1767605,MGYC001125465333,5194,6156,1,ERZ1767605.36-NODE-36-length-61695-cov-4.926055,MGYA00587597,61.695,False,54
MGYP003288393345,ERZ1767626,MGYC001132139098,26275,27714,1,ERZ1767626.558-NODE-558-length-37036-cov-6.345231,MGYA00587594,37.036,False,28
MGYP003288402760,ERZ1767605,MGYC001125470944,40276,41184,1,ERZ1767605.101-NODE-101-length-45232-cov-7.823229,MGYA00587597,45.232,False,37
MGYP003288406512,ERZ1767568,MGYC001125484389,18440,19516,-1,ERZ1767568.410-NODE-410-length-32785-cov-4.895142,MGYA00587628,32.785,False,60
MGYP003288417752,ERZ1767605,MGYC001125472105,24887,25903,1,ERZ1767605.115-NODE-115-length-42798-cov-4.237372,MGYA00587597,42.798,False,75
MGYP003288422667,ERZ1767605,MGYC001125472388,15933,16961,1,ERZ1767605.120-NODE-120-length-42104-cov-3.701681,MGYA00587597,42.104,False,42
MGYP003288446744,ERZ1767605,MGYC001125474323,9514,10977,-1,ERZ1767605.147-NODE-147-length-38697-cov-17.405336,MGYA00587597,38.697,False,32
MGYP003288454431,ERZ1767605,MGYC001125475069,31679,33136,-1,ERZ1767605.156-NODE-156-length-37574-cov-5.127802,MGYA00587597,37.574,False,47
MGYP003288477010,ERZ1767605,MGYC001125477151,13171,14406,-1,ERZ1767605.184-NODE-184-length-35396-cov-4.902974,MGYA00587597,35.396,False,33
MGYP003288480028,ERZ1767605,MGYC001125477477,16523,17557,-1,ERZ1767605.188-NODE-188-length-35169-cov-4.402831,MGYA00587597,35.169,False,57
MGYP003288485363,ERZ1767605,MGYC001125477882,14661,15647,1,ERZ1767605.194-NODE-194-length-34892-cov-3.928036,MGYA00587597,34.892,False,41
MGYP003288535439,ERZ1767605,MGYC001125482340,17252,18217,-1,ERZ1767605.266-NODE-266-length-29445-cov-3.778768,MGYA00587597,29.445,False,33
MGYP003288544657,ERZ1767329,MGYC001125504246,26987,28501,-1,ERZ1767329.643-NODE-643-length-51935-cov-9.631881,MGYA00587544,51.935,False,89
MGYP003288676932,ERZ1767513,MGYC001125440584,208893,210827,1,ERZ1767513.2-NODE-2-length-272327-cov-7.018518,MGYA00587603,272.327,False,460
MGYP003288769608,ERZ1767608,MGYC001125480122,38585,39547,1,ERZ1767608.104-NODE-104-length-60705-cov-13.710569,MGYA00587618,60.705,False,62
MGYP003288788395,ERZ1767608,MGYC001125481644,19463,20335,1,ERZ1767608.117-NODE-117-length-57119-cov-4.148553,MGYA00587618,57.119,False,49
MGYP003288809358,ERZ1767608,MGYC001125483131,27044,28087,1,ERZ1767608.131-NODE-131-length-55447-cov-7.178419,MGYA00587618,55.447,False,89
MGYP003288839837,ERZ1767608,MGYC001125485456,17426,18463,-1,ERZ1767608.154-NODE-154-length-51618-cov-40.599461,MGYA00587618,51.618,False,69
MGYP003288849449,ERZ1767608,MGYC001125486036,44315,45244,-1,ERZ1767608.159-NODE-159-length-51002-cov-23.864820,MGYA00587618,51.002,False,90
MGYP003288957738,ERZ1767513,MGYC001125450031,5872,7785,1,ERZ1767513.135-NODE-135-length-52455-cov-5.699714,MGYA00587603,52.455,False,65
MGYP003289021717,ERZ1767575,MGYC001125456165,100669,101883,1,ERZ1767575.38-NODE-38-length-105698-cov-8.036642,MGYA00587626,105.698,False,102
MGYP003289082186,ERZ1767608,MGYC001125507226,13631,14494,-1,ERZ1767608.390-NODE-390-length-35741-cov-11.068514,MGYA00587618,35.741,False,45
MGYP003289089439,ERZ1767575,MGYC001125459464,57827,59209,1,ERZ1767575.67-NODE-67-length-81910-cov-5.545355,MGYA00587626,81.91,False,70
MGYP003289108501,ERZ1767617,MGYC001125476590,124853,126598,-1,ERZ1767617.1-NODE-1-length-295079-cov-8.597002,MGYA00587623,295.079,False,393
MGYP003289113845,ERZ1767608,MGYC001125510389,8861,9682,1,ERZ1767608.424-NODE-424-length-34672-cov-4.764567,MGYA00587618,34.672,False,54
MGYP003289116680,ERZ1767601,MGYC001125494364,48982,49983,1,ERZ1767601.158-NODE-158-length-82479-cov-7.635846,MGYA00587624,82.479,False,88
MGYP003289119997,ERZ1767598,MGYC001125454245,61616,62716,-1,ERZ1767598.14-NODE-14-length-111702-cov-6.892644,MGYA00587625,111.702,False,158
MGYP003289132949,ERZ1767513,MGYC001125459983,24208,25191,-1,ERZ1767513.289-NODE-289-length-36682-cov-4.049335,MGYA00587603,36.682,False,60
MGYP003289137846,ERZ1767617,MGYC001125478581,12786,14345,-1,ERZ1767617.6-NODE-6-length-138322-cov-6.876370,MGYA00587623,138.322,False,198
MGYP003289147529,ERZ1767598,MGYC001125455464,38436,40115,-1,ERZ1767598.24-NODE-24-length-87698-cov-6.350365,MGYA00587625,87.698,False,112
MGYP003289149441,ERZ1767513,MGYC001125460854,34091,35644,-1,ERZ1767513.304-NODE-304-length-35646-cov-4.978450,MGYA00587603,35.646,False,41
MGYP003289154126,ERZ1767513,MGYC001125461271,16781,17995,-1,ERZ1767513.310-NODE-310-length-35362-cov-6.990229,MGYA00587603,35.362,False,40
MGYP003289176394,ERZ1767615,MGYC001125482260,30083,31072,-1,ERZ1767615.26-NODE-26-length-160993-cov-6.461755,MGYA00587616,160.993,False,122
MGYP003289211626,ERZ1767617,MGYC001125484036,11697,12692,1,ERZ1767617.31-NODE-31-length-71722-cov-4.266162,MGYA00587623,71.722,False,65
MGYP003289222462,ERZ1767513,MGYC001125465879,14481,15686,-1,ERZ1767513.382-NODE-382-length-31733-cov-28.508902,MGYA00587603,31.733,False,46
MGYP003289226883,ERZ1767615,MGYC001125485912,60721,61716,-1,ERZ1767615.40-NODE-40-length-121977-cov-9.980840,MGYA00587616,121.977,False,161
MGYP003289226883,ERZ1767640,MGYC001132125781,21640,22635,1,ERZ1767640.24-NODE-24-length-122236-cov-25.006973,MGYA00587607,122.236,False,162
MGYP003289227127,ERZ1767513,MGYC001125466309,198,1244,1,ERZ1767513.388-NODE-388-length-31521-cov-4.684040,MGYA00587603,31.521,False,42
MGYP003289237124,ERZ1767617,MGYC001125486514,51631,53016,1,ERZ1767617.44-NODE-44-length-65702-cov-6.417216,MGYA00587623,65.702,False,103
MGYP003289271026,ERZ1767608,MGYC001125526546,2492,3994,-1,ERZ1767608.630-NODE-630-length-27713-cov-4.971835,MGYA00587618,27.713,False,34
MGYP003289293061,ERZ1767598,MGYC001125463566,15838,16857,1,ERZ1767598.110-NODE-110-length-47233-cov-7.696426,MGYA00587625,47.233,False,74
MGYP003289305957,ERZ1767598,MGYC001125464613,13404,14441,1,ERZ1767598.121-NODE-121-length-44928-cov-4.372986,MGYA00587625,44.928,False,56
MGYP003289315980,ERZ1767598,MGYC001125465215,2435,3766,1,ERZ1767598.128-NODE-128-length-43918-cov-8.806830,MGYA00587625,43.918,False,49
MGYP003289318461,ERZ1767345,MGYC001125619268,6484,7413,1,ERZ1767345.1524-NODE-1524-length-25847-cov-8.545130,MGYA00587537,25.847,False,43
MGYP003289328269,ERZ1767560,MGYC001125446607,22311,23432,1,ERZ1767560.30-NODE-30-length-62745-cov-4.286776,MGYA00587599,62.745,False,63
MGYP003289331640,ERZ1767560,MGYC001125446749,3716,5527,1,ERZ1767560.32-NODE-32-length-58622-cov-4.415934,MGYA00587599,58.622,False,63
MGYP003289338839,ERZ1767617,MGYC001125495040,18699,19790,-1,ERZ1767617.113-NODE-113-length-42901-cov-6.232437,MGYA00587623,42.901,False,60
