MGYP,Biome Category,Biome Type,Biome Subtype,Ecosystem Type,Specific Ecosystem
MGYP000589872918,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000589872918,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000589872918,Mixed,,,,
MGYP000590698055,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000590698055,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000593196585,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000598674579,Host-associated,Human,Digestive system,,
MGYP000598674579,Host-associated,Human,Digestive system,Large intestine,
MGYP000598674579,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000598759126,Host-associated,Human,,,
MGYP000598759126,Host-associated,Human,Digestive system,,
MGYP000598759126,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000598759126,Host-associated,Human,Digestive system,Oral,Saliva
MGYP000598759126,Host-associated,Human,Skin,,
MGYP000609220145,Environmental,Aquatic,Freshwater,Groundwater,
MGYP000609220145,Host-associated,Human,Digestive system,,
MGYP000609220145,Host-associated,Human,Digestive system,Large intestine,
MGYP000610571525,Host-associated,Human,,,
MGYP000610571525,Host-associated,Human,Digestive system,,
MGYP000610571525,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000610571525,Host-associated,Human,Digestive system,Oral,
MGYP000610571525,Host-associated,Human,Digestive system,Oral,Saliva
MGYP000614909350,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000615025357,Environmental,Aquatic,Marine,,
MGYP000616299448,Host-associated,Human,Digestive system,,
MGYP000616299448,Host-associated,Human,Digestive system,Large intestine,
MGYP000616299448,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000616299448,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000616299448,Host-associated,Mammals,Digestive system,Fecal,
MGYP000616299448,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000622200760,Host-associated,Human,,,
MGYP000622200760,Host-associated,Human,Digestive system,,
MGYP000622200760,Host-associated,Human,Digestive system,Large intestine,
MGYP000622200760,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000622200760,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000623561367,Environmental,Aquatic,Marine,,
MGYP000623561367,Environmental,Aquatic,Marine,Marginal Sea,
MGYP000623561367,Environmental,Aquatic,Marine,Oceanic,
MGYP000623672825,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000625709158,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000626451181,Host-associated,Human,,,
MGYP000626451181,Host-associated,Human,Digestive system,,
MGYP000626451181,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000626757968,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000630911641,Environmental,Aquatic,Marine,,
MGYP000630911641,Environmental,Aquatic,Marine,Oceanic,
MGYP000631060371,Host-associated,Human,Digestive system,Large intestine,
MGYP000631152961,Host-associated,Human,Digestive system,,
MGYP000631152961,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000631152961,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000631152961,Host-associated,Mammals,Digestive system,,
MGYP000631152961,Host-associated,Mammals,Digestive system,Fecal,
MGYP000631152961,Host-associated,Mammals,Digestive system,Large intestine,Cecum
MGYP000631152961,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000631152961,Host-associated,Mammals,Respiratory system,,
MGYP000634505699,Host-associated,Human,Digestive system,,
MGYP000634505699,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000634802015,Host-associated,Human,Digestive system,,
MGYP000634802015,Host-associated,Human,Digestive system,Large intestine,
MGYP000634802015,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000635480792,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000641473561,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000644405563,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000646691163,Host-associated,Human,Digestive system,Large intestine,
MGYP000646691163,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000647406549,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000653170191,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000653209399,Host-associated,Human,Digestive system,,
MGYP000659656688,Environmental,Aquatic,Marine,Oceanic,
MGYP000660918547,Host-associated,Human,Digestive system,,
MGYP000660918547,Host-associated,Human,Digestive system,Large intestine,
MGYP000660918547,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000660918547,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000660918547,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000662101795,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000672687046,Host-associated,Human,Digestive system,,
MGYP000672687046,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000672736020,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000672736020,Host-associated,Mammals,Digestive system,Fecal,
MGYP000674248133,Host-associated,Human,Digestive system,Large intestine,
MGYP000675665017,Host-associated,Mammals,Digestive system,Fecal,
MGYP000675899088,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000685728210,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000688619306,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000688630022,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000692187788,Environmental,Aquatic,Freshwater,Ice,Glacier
MGYP000700441513,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000702098687,Host-associated,Human,,,
MGYP000702098687,Host-associated,Human,Digestive system,Large intestine,
MGYP000702098687,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000702098687,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000703306994,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000703372477,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000703372477,Environmental,Aquatic,Marine,,
MGYP000708048110,Host-associated,Human,Digestive system,,
MGYP000708048110,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000708048110,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000710572512,Environmental,Aquatic,Aquaculture,,
MGYP000710572512,Environmental,Aquatic,Marine,,
MGYP000710666455,Host-associated,Human,Digestive system,,
MGYP000710666455,Host-associated,Human,Digestive system,Large intestine,
MGYP000710666455,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000710666455,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000710666455,Host-associated,Mammals,Digestive system,Fecal,
MGYP000710666455,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000715104963,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000715207823,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000737459476,Host-associated,Human,Digestive system,,
MGYP000737459476,Host-associated,Human,Digestive system,Large intestine,
MGYP000737459476,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000737459476,Host-associated,Human,Digestive system,Large intestine,Sigmoid colon
MGYP000737459476,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000744648862,Engineered,Bioremediation,Terephthalate,Wastewater,
MGYP000746573042,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000762586905,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000764163578,Host-associated,Human,Digestive system,,
MGYP000764163578,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000764163578,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP000764163578,Mixed,,,,
MGYP000791274742,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000802007009,Host-associated,Human,Digestive system,,
MGYP000802007009,Host-associated,Human,Digestive system,Large intestine,
MGYP000813776456,Host-associated,Human,,,
MGYP000813776456,Host-associated,Human,Digestive system,,
MGYP000813776456,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000813776456,Host-associated,Mammals,Digestive system,Fecal,
MGYP000843201297,Host-associated,Human,Digestive system,,
MGYP000848319187,Engineered,Bioreactor,,,
MGYP000848319187,Engineered,Wastewater,Activated Sludge,,
MGYP000871613206,Engineered,Wastewater,Activated Sludge,,
MGYP000906978198,Engineered,Biogas plant,,,
MGYP000906978198,Engineered,Bioreactor,,,
MGYP000907569931,Engineered,Bioreactor,,,
MGYP000907569931,Engineered,Wastewater,,,
MGYP000907569931,Engineered,Wastewater,Activated Sludge,,
MGYP000914502379,Engineered,Food production,Fermented beverages,,
MGYP000914502379,Engineered,Wastewater,Water and sludge,,
MGYP000930758271,Engineered,Food production,Dairy products,,
MGYP000930758271,Engineered,Food production,Fermented beverages,,
MGYP000934677593,Host-associated,Human,,,
MGYP000934677593,Host-associated,Human,Digestive system,,
MGYP000934677593,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP000937350499,Engineered,Biogas plant,,,
MGYP000937350499,Engineered,Biogas plant,Wet fermentation,,
MGYP000937350499,Engineered,Bioreactor,,,
MGYP000947173517,Engineered,Food production,Dairy products,,
MGYP000947173517,Engineered,Food production,Fermented beverages,,
MGYP000951296572,Engineered,Wastewater,,,
MGYP000951296572,Engineered,Wastewater,Nutrient removal,Biological phosphorus removal,Activated sludge
MGYP000951296572,Mixed,,,,
MGYP000968200211,Engineered,Bioreactor,,,
MGYP000968200211,Engineered,Wastewater,Activated Sludge,,
MGYP000993766488,Environmental,Aquatic,Marine,Oceanic,
MGYP001001071371,Host-associated,Human,Digestive system,,
MGYP001001071371,Host-associated,Human,Digestive system,Oral,Saliva
MGYP001043987677,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001051553792,Host-associated,Human,Digestive system,Large intestine,
MGYP001051553792,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001114297143,Environmental,Aquatic,Marine,Oceanic,
MGYP001118532716,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001118532716,Environmental,Aquatic,Marine,Oceanic,
MGYP001118532716,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001118532716,Host-associated,Human,Digestive system,,
MGYP001118532716,Host-associated,Plants,Rhizosphere,,
MGYP001156851551,Environmental,Aquatic,Marine,Oceanic,
MGYP001158094653,Environmental,Aquatic,Marine,Oceanic,
MGYP001158452224,Environmental,Aquatic,Marine,,
MGYP001158452224,Environmental,Aquatic,Marine,Oceanic,
MGYP001159422903,Environmental,Aquatic,Marine,Oceanic,
MGYP001159511778,Environmental,Aquatic,Marine,Oceanic,
MGYP001162439701,Environmental,Aquatic,Marine,,
MGYP001162439701,Environmental,Aquatic,Marine,Oceanic,
MGYP001162780842,Environmental,Aquatic,Marine,,
MGYP001162780842,Environmental,Aquatic,Marine,Oceanic,
MGYP001166290498,Environmental,Aquatic,Marine,Oceanic,
MGYP001166782316,Environmental,Aquatic,Marine,Oceanic,
MGYP001167565015,Environmental,Aquatic,Marine,,
MGYP001167565015,Environmental,Aquatic,Marine,Oceanic,
MGYP001167713869,Environmental,Aquatic,Marine,Oceanic,
MGYP001169157754,Environmental,Aquatic,Marine,,
MGYP001169157754,Environmental,Aquatic,Marine,Oceanic,
MGYP001169158013,Environmental,Aquatic,Marine,,
MGYP001169158013,Environmental,Aquatic,Marine,Oceanic,
MGYP001169631082,Environmental,Aquatic,Marine,Oceanic,
MGYP001171887510,Environmental,Aquatic,Marine,Oceanic,
MGYP001173480496,Environmental,Aquatic,Marine,Oceanic,
MGYP001175774113,Environmental,Aquatic,Marine,Oceanic,
MGYP001177176500,Environmental,Aquatic,Marine,Oceanic,
MGYP001178370492,Environmental,Aquatic,Marine,Oceanic,
MGYP001178754852,Environmental,Aquatic,Marine,Oceanic,
MGYP001179739747,Environmental,Aquatic,Marine,Oceanic,
MGYP001182476470,Environmental,Aquatic,Marine,Oceanic,
MGYP001182825234,Environmental,Aquatic,Marine,Oceanic,
MGYP001185508091,Environmental,Aquatic,Marine,,
MGYP001185508091,Environmental,Aquatic,Marine,Oceanic,
MGYP001185851989,Environmental,Aquatic,Marine,Oceanic,
MGYP001188498027,Environmental,Aquatic,Marine,,
MGYP001188498027,Environmental,Aquatic,Marine,Oceanic,
MGYP001189200863,Environmental,Aquatic,Marine,Oceanic,
MGYP001189214503,Environmental,Aquatic,Marine,Oceanic,
MGYP001189454835,Environmental,Aquatic,Marine,,
MGYP001189454835,Environmental,Aquatic,Marine,Oceanic,
MGYP001190945602,Environmental,Aquatic,Marine,Oceanic,
MGYP001191932810,Environmental,Aquatic,Marine,Oceanic,
MGYP001192004420,Environmental,Aquatic,Marine,,
MGYP001192004420,Environmental,Aquatic,Marine,Oceanic,
MGYP001192075698,Environmental,Aquatic,Marine,Oceanic,
MGYP001192155373,Environmental,Aquatic,Marine,Oceanic,
MGYP001197677754,Environmental,Aquatic,Marine,,
MGYP001197677754,Environmental,Aquatic,Marine,Oceanic,
MGYP001198029016,Environmental,Aquatic,Marine,Oceanic,
MGYP001198864080,Environmental,Aquatic,Marine,,
MGYP001198864080,Environmental,Aquatic,Marine,Oceanic,
MGYP001201249070,Engineered,Wastewater,,,
MGYP001201249070,Engineered,Wastewater,Activated Sludge,,
MGYP001201249070,Engineered,Wastewater,Nutrient removal,Biological phosphorus removal,Activated sludge
MGYP001201883948,Environmental,Aquatic,Marine,,
MGYP001201883948,Environmental,Aquatic,Marine,Oceanic,
MGYP001202957089,Environmental,Aquatic,Marine,,
MGYP001202957089,Environmental,Aquatic,Marine,Oceanic,
MGYP001205722506,Environmental,Aquatic,Marine,Oceanic,
MGYP001207060548,Environmental,Aquatic,Marine,Oceanic,
MGYP001208596536,Environmental,Aquatic,Marine,Oceanic,
MGYP001211218972,Environmental,Aquatic,Marine,Oceanic,
MGYP001212706495,Environmental,Aquatic,Marine,,
MGYP001212706495,Environmental,Aquatic,Marine,Oceanic,
MGYP001212770936,Environmental,Aquatic,Marine,Oceanic,
MGYP001216717877,Environmental,Aquatic,Marine,,
MGYP001216717877,Environmental,Aquatic,Marine,Oceanic,
MGYP001217686582,Environmental,Aquatic,Marine,Oceanic,
MGYP001217968412,Environmental,Aquatic,Marine,Oceanic,
MGYP001220818638,Environmental,Aquatic,Marine,Oceanic,
MGYP001220970665,Environmental,Aquatic,Marine,Oceanic,
MGYP001221849278,Environmental,Aquatic,Marine,,
MGYP001221849278,Environmental,Aquatic,Marine,Oceanic,
MGYP001224706549,Environmental,Aquatic,Marine,,
MGYP001224706549,Environmental,Aquatic,Marine,Oceanic,
MGYP001225878641,Environmental,Aquatic,Marine,,
MGYP001225878641,Environmental,Aquatic,Marine,Oceanic,
MGYP001229193049,Environmental,Aquatic,Marine,Oceanic,
MGYP001229946924,Environmental,Aquatic,Marine,,
MGYP001229946924,Environmental,Aquatic,Marine,Oceanic,
MGYP001229970273,Environmental,Aquatic,Marine,Oceanic,
MGYP001230091200,Environmental,Aquatic,Marine,Oceanic,
MGYP001230535786,Environmental,Aquatic,Marine,Oceanic,
MGYP001235099818,Engineered,Wastewater,Activated Sludge,,
MGYP001235300537,Environmental,Aquatic,Marine,,
MGYP001235300537,Environmental,Aquatic,Marine,Oceanic,
MGYP001238223466,Environmental,Aquatic,Marine,Oceanic,
MGYP001238319641,Environmental,Aquatic,Marine,Oceanic,
MGYP001238411919,Environmental,Aquatic,Marine,Oceanic,
MGYP001238560740,Environmental,Aquatic,Marine,,
MGYP001238560740,Environmental,Aquatic,Marine,Oceanic,
MGYP001239357712,Environmental,Aquatic,Marine,Oceanic,
MGYP001240693997,Environmental,Aquatic,Marine,,
MGYP001240693997,Environmental,Aquatic,Marine,Oceanic,
MGYP001242060545,Environmental,Aquatic,Marine,Oceanic,
MGYP001242696478,Environmental,Aquatic,Marine,Oceanic,
MGYP001245027200,Environmental,Aquatic,Marine,Oceanic,
MGYP001245132746,Environmental,Aquatic,Marine,Oceanic,
MGYP001247479051,Environmental,Aquatic,Marine,,
MGYP001247479051,Environmental,Aquatic,Marine,Oceanic,
MGYP001247486627,Environmental,Aquatic,Marine,Oceanic,
MGYP001250449728,Environmental,Aquatic,Marine,,
MGYP001250449728,Environmental,Aquatic,Marine,Oceanic,
MGYP001253578916,Environmental,Aquatic,Marine,Oceanic,
MGYP001255636907,Environmental,Aquatic,Marine,Oceanic,
MGYP001255733461,Environmental,Aquatic,Marine,Oceanic,
MGYP001256268574,Environmental,Aquatic,Marine,Oceanic,
MGYP001257181871,Environmental,Aquatic,Marine,,
MGYP001257181871,Environmental,Aquatic,Marine,Oceanic,
MGYP001259956468,Environmental,Aquatic,Marine,Oceanic,
MGYP001261291236,Environmental,Aquatic,Marine,Oceanic,
MGYP001261354624,Environmental,Aquatic,Marine,Oceanic,
MGYP001261657995,Environmental,Aquatic,Marine,,
MGYP001261657995,Environmental,Aquatic,Marine,Oceanic,
MGYP001262960808,Environmental,Aquatic,Marine,,
MGYP001262960808,Environmental,Aquatic,Marine,Oceanic,
MGYP001263746768,Environmental,Aquatic,Marine,Oceanic,
MGYP001265101672,Environmental,Aquatic,Marine,,
MGYP001265101672,Environmental,Aquatic,Marine,Oceanic,
MGYP001265704696,Environmental,Aquatic,Marine,Oceanic,
MGYP001265759582,Environmental,Aquatic,Marine,Oceanic,
MGYP001267083243,Environmental,Aquatic,Marine,,
MGYP001267083243,Environmental,Aquatic,Marine,Oceanic,
MGYP001268161253,Environmental,Aquatic,Marine,Oceanic,
MGYP001269121003,Environmental,Aquatic,Marine,Oceanic,
MGYP001269526620,Environmental,Aquatic,Marine,Oceanic,
MGYP001269856802,Environmental,Aquatic,Marine,Oceanic,
MGYP001270518259,Environmental,Aquatic,Marine,Oceanic,
MGYP001270548268,Environmental,Aquatic,Marine,Oceanic,
MGYP001270613632,Environmental,Aquatic,Marine,,
MGYP001270613632,Environmental,Aquatic,Marine,Oceanic,
MGYP001270780023,Environmental,Aquatic,Marine,Oceanic,
MGYP001271048552,Environmental,Aquatic,Marine,Oceanic,
MGYP001272255422,Environmental,Aquatic,Marine,Oceanic,
MGYP001272271734,Environmental,Aquatic,Marine,,
MGYP001272271734,Environmental,Aquatic,Marine,Oceanic,
MGYP001273896388,Environmental,Aquatic,Marine,Oceanic,
MGYP001275247222,Environmental,Aquatic,Marine,Oceanic,
MGYP001278612732,Environmental,Aquatic,Marine,,
MGYP001278612732,Environmental,Aquatic,Marine,Oceanic,
MGYP001280001314,Environmental,Aquatic,Marine,,
MGYP001280001314,Environmental,Aquatic,Marine,Oceanic,
MGYP001281447492,Environmental,Aquatic,Marine,,
MGYP001281447492,Environmental,Aquatic,Marine,Oceanic,
MGYP001282024616,Environmental,Aquatic,Marine,Oceanic,
MGYP001285561898,Environmental,Aquatic,Marine,,
MGYP001285561898,Environmental,Aquatic,Marine,Oceanic,
MGYP001287126028,Environmental,Aquatic,Marine,Oceanic,
MGYP001288106776,Environmental,Aquatic,Marine,,
MGYP001288106776,Environmental,Aquatic,Marine,Oceanic,
MGYP001288371718,Environmental,Aquatic,Marine,Oceanic,
MGYP001289512331,Environmental,Aquatic,Marine,Oceanic,
MGYP001291205606,Environmental,Aquatic,Marine,Oceanic,
MGYP001292354052,Environmental,Aquatic,Marine,Oceanic,
MGYP001293597997,Environmental,Aquatic,Marine,,
MGYP001293597997,Environmental,Aquatic,Marine,Oceanic,
MGYP001293722808,Environmental,Aquatic,Marine,Oceanic,
MGYP001294880113,Environmental,Aquatic,Marine,Oceanic,
MGYP001296281646,Environmental,Aquatic,Marine,Oceanic,
MGYP001298972360,Environmental,Aquatic,Marine,Oceanic,
MGYP001299140496,Environmental,Aquatic,Marine,Oceanic,
MGYP001301876493,Environmental,Aquatic,Marine,Oceanic,
MGYP001303036468,Environmental,Aquatic,Marine,Oceanic,
MGYP001303440611,Environmental,Aquatic,Marine,Oceanic,
MGYP001303486732,Environmental,Aquatic,Marine,Oceanic,
MGYP001304761174,Environmental,Aquatic,Marine,Oceanic,
MGYP001305037262,Environmental,Aquatic,Marine,Oceanic,
MGYP001305717633,Environmental,Aquatic,Marine,Oceanic,
MGYP001305861203,Environmental,Aquatic,Marine,Oceanic,
MGYP001307068149,Environmental,Aquatic,Marine,,
MGYP001307068149,Environmental,Aquatic,Marine,Oceanic,
MGYP001307484614,Environmental,Aquatic,Marine,Oceanic,
MGYP001318098625,Environmental,Aquatic,Marine,Oceanic,
MGYP001319250528,Environmental,Aquatic,Marine,Oceanic,
MGYP001324692383,Environmental,Aquatic,Marine,Oceanic,
MGYP001324846549,Environmental,Aquatic,Marine,,
MGYP001324846549,Environmental,Aquatic,Marine,Oceanic,
MGYP001325996437,Environmental,Aquatic,Marine,,
MGYP001325996437,Environmental,Aquatic,Marine,Oceanic,
MGYP001328062919,Environmental,Aquatic,Marine,Oceanic,
MGYP001330071390,Environmental,Aquatic,Marine,Oceanic,
MGYP001330768457,Environmental,Aquatic,Marine,Oceanic,
MGYP001331577055,Environmental,Aquatic,Marine,Oceanic,
MGYP001334209676,Environmental,Aquatic,Marine,,
MGYP001334209676,Environmental,Aquatic,Marine,Oceanic,
MGYP001334704839,Environmental,Aquatic,Marine,Oceanic,
MGYP001336909355,Environmental,Aquatic,Marine,Oceanic,
MGYP001337041876,Environmental,Aquatic,Marine,,
MGYP001337041876,Environmental,Aquatic,Marine,Oceanic,
MGYP001340970904,Environmental,Aquatic,Marine,Oceanic,
MGYP001341074077,Environmental,Aquatic,Marine,,
MGYP001341074077,Environmental,Aquatic,Marine,Oceanic,
MGYP001341575417,Environmental,Aquatic,Marine,Oceanic,
MGYP001342457257,Environmental,Aquatic,Marine,,
MGYP001342457257,Environmental,Aquatic,Marine,Oceanic,
MGYP001342458878,Environmental,Aquatic,Marine,,
MGYP001342458878,Environmental,Aquatic,Marine,Oceanic,
MGYP001342541486,Environmental,Aquatic,Marine,Oceanic,
MGYP001342588273,Environmental,Aquatic,Marine,Oceanic,
MGYP001342632500,Environmental,Aquatic,Marine,,
MGYP001342632500,Environmental,Aquatic,Marine,Oceanic,
MGYP001348337795,Environmental,Aquatic,Marine,,
MGYP001348337795,Environmental,Aquatic,Marine,Oceanic,
MGYP001350874014,Environmental,Aquatic,Marine,Oceanic,
MGYP001353263834,Environmental,Aquatic,Marine,,
MGYP001353263834,Environmental,Aquatic,Marine,Oceanic,
MGYP001353314205,Environmental,Aquatic,Marine,Oceanic,
MGYP001353350287,Environmental,Aquatic,Marine,,
MGYP001353350287,Environmental,Aquatic,Marine,Oceanic,
MGYP001354459675,Environmental,Aquatic,Marine,,
MGYP001354459675,Environmental,Aquatic,Marine,Oceanic,
MGYP001355835951,Environmental,Aquatic,Marine,,
MGYP001355835951,Environmental,Aquatic,Marine,Oceanic,
MGYP001360014107,Environmental,Aquatic,Marine,Oceanic,
MGYP001361294567,Environmental,Aquatic,Marine,Oceanic,
MGYP001361433595,Environmental,Aquatic,Marine,Oceanic,
MGYP001365287079,Environmental,Aquatic,Marine,Oceanic,
MGYP001369583139,Environmental,Aquatic,Marine,,
MGYP001369583139,Environmental,Aquatic,Marine,Oceanic,
MGYP001370031873,Environmental,Aquatic,Marine,,
MGYP001370031873,Environmental,Aquatic,Marine,Oceanic,
MGYP001372087536,Environmental,Aquatic,Marine,Oceanic,
MGYP001372996355,Mixed,,,,
MGYP001373235440,Engineered,Wastewater,Activated Sludge,,
MGYP001374095183,Environmental,Aquatic,Marine,,
MGYP001374095183,Environmental,Aquatic,Marine,Oceanic,
MGYP001374122492,Environmental,Aquatic,Marine,Oceanic,
MGYP001375024420,Environmental,Aquatic,Marine,Oceanic,
MGYP001375405827,Environmental,Aquatic,Marine,Oceanic,
MGYP001376145772,Environmental,Aquatic,Marine,Oceanic,
MGYP001376200174,Environmental,Aquatic,Marine,Oceanic,
MGYP001378666132,Engineered,Wastewater,Activated Sludge,,
MGYP001380714802,Environmental,Aquatic,Marine,,
MGYP001380714802,Environmental,Aquatic,Marine,Oceanic,
MGYP001381364889,Engineered,Wastewater,Activated Sludge,,
MGYP001381751712,Environmental,Aquatic,Marine,Oceanic,
MGYP001382135965,Environmental,Aquatic,Marine,Oceanic,
MGYP001383085562,Environmental,Aquatic,Marine,Oceanic,
MGYP001383146917,Environmental,Aquatic,Marine,Oceanic,
MGYP001383147830,Environmental,Aquatic,Marine,,
MGYP001383147830,Environmental,Aquatic,Marine,Oceanic,
MGYP001384493830,Environmental,Aquatic,Marine,Oceanic,
MGYP001386097934,Environmental,Aquatic,Marine,Oceanic,
MGYP001386245224,Environmental,Aquatic,Marine,,
MGYP001386245224,Environmental,Aquatic,Marine,Oceanic,
MGYP001387098497,Environmental,Aquatic,Marine,,
MGYP001387098497,Environmental,Aquatic,Marine,Oceanic,
MGYP001387135843,Environmental,Aquatic,Marine,,
MGYP001387135843,Environmental,Aquatic,Marine,Oceanic,
MGYP001388136034,Engineered,Wastewater,Activated Sludge,,
MGYP001388368279,Environmental,Aquatic,Marine,Oceanic,
MGYP001390038349,Environmental,Aquatic,Marine,Oceanic,
MGYP001392425131,Environmental,Aquatic,Marine,Oceanic,
MGYP001393817368,Environmental,Aquatic,Marine,,
MGYP001393817368,Environmental,Aquatic,Marine,Oceanic,
MGYP001394323177,Environmental,Aquatic,Marine,,
MGYP001394323177,Environmental,Aquatic,Marine,Oceanic,
MGYP001395123112,Environmental,Aquatic,Marine,Oceanic,
MGYP001396753803,Environmental,Aquatic,Marine,Oceanic,
MGYP001397107409,Environmental,Aquatic,Marine,Oceanic,
MGYP001400910990,Environmental,Aquatic,Marine,Oceanic,
MGYP001403321319,Environmental,Aquatic,Marine,,
MGYP001403321319,Environmental,Aquatic,Marine,Oceanic,
MGYP001404388121,Engineered,Wastewater,Activated Sludge,,
MGYP001404996557,Environmental,Aquatic,Marine,Oceanic,
MGYP001406221578,Environmental,Aquatic,Marine,,
MGYP001406221578,Environmental,Aquatic,Marine,Oceanic,
MGYP001407636586,Environmental,Aquatic,Marine,,
MGYP001407636586,Environmental,Aquatic,Marine,Oceanic,
MGYP001409318126,Environmental,Aquatic,Marine,Oceanic,
MGYP001410016891,Environmental,Aquatic,Marine,Oceanic,
MGYP001410171304,Environmental,Aquatic,Marine,Oceanic,
MGYP001410632789,Environmental,Aquatic,Marine,Oceanic,
MGYP001412933479,Environmental,Aquatic,Marine,,
MGYP001412933479,Environmental,Aquatic,Marine,Oceanic,
MGYP001413062724,Environmental,Aquatic,Marine,Oceanic,
MGYP001413885899,Engineered,Wastewater,Activated Sludge,,
MGYP001414737684,Environmental,Aquatic,Marine,Oceanic,
MGYP001417444598,Environmental,Aquatic,Marine,Oceanic,
MGYP001418384617,Environmental,Aquatic,Marine,,
MGYP001418384617,Environmental,Aquatic,Marine,Oceanic,
MGYP001420004435,Environmental,Aquatic,Marine,Oceanic,
MGYP001420109916,Environmental,Aquatic,Marine,,
MGYP001420109916,Environmental,Aquatic,Marine,Oceanic,
MGYP001421991186,Engineered,Wastewater,Activated Sludge,,
MGYP001422231159,Environmental,Aquatic,Marine,Oceanic,
MGYP001422554227,Environmental,Aquatic,Marine,Oceanic,
MGYP001422761411,Environmental,Aquatic,Marine,,
MGYP001422761411,Environmental,Aquatic,Marine,Oceanic,
MGYP001423535577,Environmental,Aquatic,Marine,,
MGYP001423535577,Environmental,Aquatic,Marine,Oceanic,
MGYP001424887590,Environmental,Aquatic,Marine,,
MGYP001424887590,Environmental,Aquatic,Marine,Oceanic,
MGYP001426423978,Environmental,Aquatic,Marine,,
MGYP001426423978,Environmental,Aquatic,Marine,Oceanic,
MGYP001428107979,Environmental,Aquatic,Marine,,
MGYP001428107979,Environmental,Aquatic,Marine,Oceanic,
MGYP001428233580,Environmental,Aquatic,Marine,,
MGYP001428233580,Environmental,Aquatic,Marine,Oceanic,
MGYP001429072721,Environmental,Aquatic,Marine,Oceanic,
